County/City,Ward,Pct,"Edward Walter Gillespie","Corey Alan Stewart","Frank W. Wagner","All Others","Total Votes Cast"
"Alexandria City",-,"205 - Douglas Macarthur School",146,36,18,0,200
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr",81,36,12,0,129
"Alexandria City",-,"207 - Temple Beth El Synagogue",132,51,30,0,213
"Alexandria City",-,"208 - Nova Arts Center",45,22,5,0,72
"Alexandria City",-,"209 - James K Polk School",70,36,8,0,114
"Alexandria City",-,"210 - The Hermitage",70,26,7,0,103
"Alexandria City",-,"302 - Patrick Henry Rec Center",29,22,10,0,61
"Alexandria City",-,"303 - Charles E Beatley Library",39,40,9,0,88
"Alexandria City",-,"304 - Samuel Tucker School",50,24,10,0,84
"Alexandria City",-,"305 - John Adams School",44,29,6,0,79
"Alexandria City",-,"306 - William Ramsay School",27,31,11,0,69
"Alexandria City",-,"307 - South Port",57,47,14,0,118
"Alexandria City",-,"308 - Cameron Station Community Ctr",122,53,19,0,194
"Alexandria City",-,"Ab - Central Absentee Precinct",223,37,21,0,281
"Alexandria City",-,Provisional,6,2,0,0,8
"Alleghany County",-,"101 - Arritt",21,27,1,0,49
"Alleghany County",-,"103 - Dameron",19,9,1,0,29
"Alleghany County",-,"201 - Humpback Bridge",15,14,1,0,30
"Alleghany County",-,"202 - Dolly Ann",13,27,4,0,44
"Alleghany County",-,"301 - Callaghan",15,19,1,0,35
"Alleghany County",-,"302 - Griffith",27,31,1,0,59
"Alleghany County",-,"401 - Low Moor",19,14,4,0,37
"Alleghany County",-,"402 - Jackson Heights",15,26,8,0,49
"Alleghany County",-,"501 - Iron Gate",7,6,1,0,14
"Alleghany County",-,"502 - Peters Switch",24,15,12,0,51
"Alleghany County",-,"601 - District 1",37,21,6,0,64
"Alleghany County",-,"701 - District 2",6,22,3,0,31
"Alleghany County",-,"Ab - Central Absentee Precinct",2,4,2,0,8
"Alleghany County",-,Provisional,0,0,0,0,0
"Amelia County",-,"101 - Number One",52,66,6,0,124
"Amelia County",-,"201 - Number Two",72,90,11,0,173
"Amelia County",-,"301 - Number Three",69,89,6,0,164
"Amelia County",-,"401 - Number Four",60,94,8,0,162
"Amelia County",-,"501 - Number Five",65,102,4,0,171
"Amelia County",-,"Ab - Central Absentee Precinct",11,7,1,0,19
"Amelia County",-,Provisional,1,1,0,0,2
"Amherst County",-,"101 - Wright Shop",29,41,5,0,75
"Amherst County",-,"102 - New Glasgow",47,91,10,0,148
"Amherst County",-,"103 - Coolwell",26,59,2,0,87
"Amherst County",-,"201 - Court House",91,147,31,0,269
"Amherst County",-,"202 - Temperance",40,71,13,0,124
"Amherst County",-,"301 - Monroe",47,67,10,0,124
"Amherst County",-,"302 - Elon",113,159,31,0,303
"Amherst County",-,"303 - Pleasant View",39,33,7,0,79
"Amherst County",-,"401 - Amelon",121,151,26,0,298
"Amherst County",-,"402 - Lonco",26,35,9,0,70
"Amherst County",-,"501 - Madison",87,128,15,0,230
"Amherst County",-,"Ab - Central Absentee Precinct",28,10,4,0,42
"Amherst County",-,Provisional,0,0,0,0,0
"Appomattox County",-,"101 - Vera",36,55,10,0,101
"Appomattox County",-,"102 - Pamplin",48,65,29,0,142
"Appomattox County",-,"201 - Chap",19,29,2,0,50
"Appomattox County",-,"202 - Spout Spring",64,101,27,0,192
"Appomattox County",-,"301 - Us 460",50,53,10,0,113
"Appomattox County",-,"302 - Stonewall",47,72,26,1,146
"Appomattox County",-,"401 - Courthouse",71,83,13,0,167
"Appomattox County",-,"501 - Oakville",53,63,14,0,130
"Appomattox County",-,"502 - Agee",22,33,8,0,63
"Appomattox County",-,"Ab - Central Absentee Precinct",12,2,3,0,17
"Appomattox County",-,Provisional,0,1,0,0,1
"Arlington County",-,"1 - Arlington",35,22,4,0,61
"Arlington County",-,"2 - Ashton Heights",51,13,12,0,76
"Arlington County",-,"3 - Aurora Hills",69,38,19,0,126
"Arlington County",-,"4 - Ballston",63,24,10,0,97
"Arlington County",-,"5 - Barcroft",47,22,12,0,81
"Arlington County",-,"6 - Crystal City",55,18,21,0,94
"Arlington County",-,"7 - Cherrydale",61,29,12,0,102
"Arlington County",-,"8 - Hume",90,35,17,0,142
"Arlington County",-,"9 - Columbia",46,28,11,0,85
"Arlington County",-,"10 - Wilson",70,33,10,0,113
"Arlington County",-,"11 - East Falls Church",50,39,12,0,101
"Arlington County",-,"12 - Fairlington",92,24,26,0,142
"Arlington County",-,"13 - Glen Carlyn",19,22,6,0,47
"Arlington County",-,"14 - Clarendon",35,14,10,0,59
"Arlington County",-,"15 - Lyon Park",33,18,7,0,58
"Arlington County",-,"16 - Lyon Village",60,20,11,0,91
"Arlington County",-,"17 - Overlee Knolls",77,36,17,0,130
"Arlington County",-,"18 - Park Lane",77,28,15,0,120
"Arlington County",-,"19 - Rosslyn",53,15,9,0,77
"Arlington County",-,"20 - Thrifton",119,35,17,0,171
"Arlington County",-,"21 - Virginia Highlands",59,19,9,0,87
"Arlington County",-,"22 - Abingdon",72,30,16,0,118
"Arlington County",-,"23 - Westover",41,34,12,0,87
"Arlington County",-,"24 - Woodlawn",57,39,15,0,111
"Arlington County",-,"25 - Arlington Forest",65,29,9,0,103
"Arlington County",-,"26 - Fillmore",29,28,19,0,76
"Arlington County",-,"27 - Jefferson",61,30,13,0,104
"Arlington County",-,"28 - Wakefield",51,19,13,0,83
"Arlington County",-,"29 - Dominion Hills",64,22,8,0,94
"Arlington County",-,"30 - Glebe",28,17,9,0,54
"Arlington County",-,"31 - Lexington",80,31,21,0,132
"Arlington County",-,"32 - Oakridge",34,24,6,0,64
"Arlington County",-,"33 - Rock Spring",88,44,25,0,157
"Arlington County",-,"34 - Yorktown",63,32,13,0,108
"Arlington County",-,"35 - Madison",157,56,18,0,231
"Arlington County",-,"36 - Marshall",85,37,9,0,131
"Arlington County",-,"37 - Nottingham",70,37,16,0,123
"Arlington County",-,"38 - Arlington View",31,15,8,0,54
"Arlington County",-,"39 - Ashlawn",28,19,6,0,53
"Arlington County",-,"40 - Virginia Square",60,24,14,0,98
"Arlington County",-,"41 - Navy League",57,11,3,0,71
"Arlington County",-,"42 - Shirlington",40,18,3,0,61
"Arlington County",-,"43 - Campbell",8,15,3,0,26
"Arlington County",-,"44 - Dawson Terrace",29,12,6,0,47
"Arlington County",-,"45 - Buckingham",36,18,5,0,59
"Arlington County",-,"46 - Central",73,24,21,0,118
"Arlington County",-,"47 - Four Mile Run",28,8,10,0,46
"Arlington County",-,"48 - Ausa",33,18,4,0,55
"Arlington County",-,"49 - Monroe",33,5,10,0,48
"Arlington County",-,"50 - Crystal Plaza",48,19,10,0,77
"Arlington County",-,"51 - Taylor",23,11,5,0,39
"Arlington County",-,"52 - Gunston",37,13,10,0,60
"Arlington County",-,"53 - Met Park",48,18,12,0,78
"Arlington County",-,"54 - Garfield Park",35,3,6,0,44
"Arlington County",-,"Ab - Central Absentee Precinct",184,37,35,0,256
"Arlington County",-,Provisional,1,0,0,0,1
"Augusta County",-,"101 - Jolivue",42,76,6,0,124
"Augusta County",-,"102 - Stuarts Draft Elementary",36,59,11,0,106
"Augusta County",-,"103 - Verona",69,132,12,0,213
"Augusta County",-,"201 - Crimora",53,128,6,0,187
"Augusta County",-,"202 - New Hope",51,101,9,0,161
"Augusta County",-,"203 - Weyers Cave",89,94,18,0,201
"Augusta County",-,"301 - Fort Defiance",125,208,17,0,350
"Augusta County",-,"302 - North River",35,62,8,0,105
"Augusta County",-,"303 - Mount Solon",53,95,13,0,161
"Augusta County",-,"304 - Churchville Fire Station",41,79,10,0,130
"Augusta County",-,"401 - Buffalo Gap",24,80,9,0,113
"Augusta County",-,"402 - Churchville Elementary",47,90,11,0,148
"Augusta County",-,"403 - Craigsville",26,50,5,0,81
"Augusta County",-,"404 - Deerfield",15,38,4,0,57
"Augusta County",-,"405 - Cedar Green",56,110,9,0,175
"Augusta County",-,"501 - Greenville",60,103,16,0,179
"Augusta County",-,"502 - Middlebrook",32,78,8,0,118
"Augusta County",-,"503 - Spottswood",41,74,6,0,121
"Augusta County",-,"504 - White Hill",109,135,10,0,254
"Augusta County",-,"601 - Sherando",56,94,15,1,166
"Augusta County",-,"602 - Ridgeview",127,221,23,0,371
"Augusta County",-,"603 - Lyndhurst",102,137,13,0,252
"Augusta County",-,"801 - Dooms",63,120,16,0,199
"Augusta County",-,"802 - Fishersville",154,167,27,0,348
"Augusta County",-,"803 - Wilson",86,101,13,0,200
"Augusta County",-,"Ab - Central Absentee Precinct",63,41,6,0,110
"Augusta County",-,Provisional,0,0,0,0,0
"Bath County",-,"101 - Warm Springs",22,14,2,0,38
"Bath County",-,"102 - Mountain Grove",12,8,2,0,22
"Bath County",-,"201 - Hot Springs",21,14,2,0,37
"Bath County",-,"301 - Fairview",17,22,0,0,39
"Bath County",-,"302 - Burnsville",5,2,1,0,8
"Bath County",-,"401 - Millboro",22,21,4,0,47
"Bath County",-,"501 - Healing Springs",23,22,2,0,47
"Bath County",-,"Ab - Central Absentee Precinct",7,1,1,0,9
"Bath County",-,Provisional,0,0,0,0,0
"Bedford County",-,"101 - Goodview Elem School (CD 5)",68,100,11,0,179
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",41,47,12,0,100
"Bedford County",-,"103 - Chamblissburg Baptist Church (CD 5)",45,78,8,0,131
"Bedford County",-,"104 - Stewartsville Rescue Squad (CD 5)",50,77,9,0,136
"Bedford County",-,"201 - Bedford Christian Church (CD 5)",23,61,5,0,89
"Bedford County",-,"202 - Staunton River High School (CD 5)",37,59,7,0,103
"Bedford County",-,"203 - Moneta Elem School (CD 5)",93,108,28,0,229
"Bedford County",-,"204 - Quaker Baptist Church (CD 5)",13,45,4,0,62
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",120,90,16,0,226
"Bedford County",-,"301 - New London Academy (CD 6)",315,299,45,0,659
"Bedford County",-,"302 - Bedford Regional Water Auth (CD 5)",111,108,19,0,238
"Bedford County",-,"303 - Bethesda United Methodist Church (CD 5)",71,88,20,0,179
"Bedford County",-,"304 - Forest Youth Athletic Assoc (CD 6)",59,75,17,0,151
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",57,67,8,0,132
"Bedford County",-,"401 - Forest Elementary School (CD 6)",250,184,37,0,471
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",83,104,27,0,214
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)",242,243,47,0,532
"Bedford County",-,"404 - St. Paul Baptist Church (CD 6)",241,184,54,0,479
"Bedford County",-,"502 - Big Island Elem School (CD 6)",23,22,2,0,47
"Bedford County",-,"503 - Sedalia Center (CD 6)",30,49,7,0,86
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",57,112,11,0,180
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",110,128,31,0,269
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",135,170,48,0,353
"Bedford County",-,"601 - Montvale Elem School (CD 6)",45,82,27,0,154
"Bedford County",-,"602 - Shady Grove Fire Department (CD 5)",40,93,13,0,146
"Bedford County",-,"603 - Thaxton Baptist Church #1 (CD 5)",13,24,1,0,38
"Bedford County",-,"604 - Bedford Welcome Center (CD 5)",63,99,18,0,180
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)",91,178,26,0,295
"Bedford County",-,"702 - Liberty High School (CD 5)",73,85,5,0,163
"Bedford County",-,"703 - Thaxton Baptist Church #2 (CD 5)",25,64,12,0,101
"Bedford County",-,"704 - Bedford Central Library (CD 5)",61,113,16,0,190
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)",41,32,9,0,82
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)",63,21,16,0,100
"Bedford County",-,"Provisional (CD 5)",0,0,0,0,0
"Bedford County",-,"Provisional (CD 6)",2,0,0,0,2
"Bland County",-,"101 - Bastian",10,31,1,0,42
"Bland County",-,"102 - Ceres",14,35,5,0,54
"Bland County",-,"201 - Davis",9,3,0,0,12
"Bland County",-,"202 - Seddon",40,37,13,0,90
"Bland County",-,"301 - Hollybrook",20,9,4,0,33
"Bland County",-,"302 - Mechanicsburg",12,5,0,0,17
"Bland County",-,"401 - Rocky Gap",35,63,3,0,101
"Bland County",-,"Ab - Central Absentee Precinct",6,4,0,0,10
"Bland County",-,Provisional,0,0,0,0,0
"Botetourt County",-,"101 - Daleville",100,74,20,0,194
"Botetourt County",-,"102 - Greenfield",106,147,38,0,291
"Botetourt County",-,"201 - Blue Ridge",88,127,14,0,229
"Botetourt County",-,"202 - Rainbow Forest",90,103,30,0,223
"Botetourt County",-,"301 - Buchanan",46,72,7,0,125
"Botetourt County",-,"302 - Mill Creek",87,83,13,0,183
"Botetourt County",-,"403 - Eagle Rock",38,53,10,0,101
"Botetourt County",-,"406 - Fincastle",97,125,14,0,236
"Botetourt County",-,"501 - Troutville",44,65,11,0,120
"Botetourt County",-,"502 - Cloverdale",117,146,29,0,292
"Botetourt County",-,"Ab - Central Absentee Precinct",46,15,4,0,65
"Botetourt County",-,Provisional,0,0,0,0,0
"Bristol City",-,"1 - First Ward",33,63,5,0,101
"Bristol City",-,"2 - Second Ward",49,86,8,0,143
"Bristol City",-,"3 - Third Ward",31,33,2,0,66
"Bristol City",-,"4 - Fourth Ward",50,164,5,0,219
"Bristol City",-,"Ab - Central Absentee Precinct",9,6,0,0,15
"Bristol City",-,Provisional,0,0,0,0,0
"Brunswick County",-,"101 - Brodnax",16,14,15,0,45
"Brunswick County",-,"102 - Rock Store",26,12,6,0,44
"Brunswick County",-,"103 - Tillman",34,43,10,0,87
"Brunswick County",-,"201 - Dromgoole",5,7,1,0,13
"Brunswick County",-,"202 - Edgerton",14,17,2,0,33
"Brunswick County",-,"203 - Fitzhugh",13,4,3,0,20
"Brunswick County",-,"301 - Alberta",6,11,1,0,18
"Brunswick County",-,"302 - Danieltown",24,29,2,0,55
"Brunswick County",-,"303 - Elmore",9,13,2,0,24
"Brunswick County",-,"304 - Seymour",5,3,7,0,15
"Brunswick County",-,"401 - Sturgeon",23,25,8,0,56
"Brunswick County",-,"402 - King's Store",8,2,1,0,11
"Brunswick County",-,"501 - Totaro",17,14,10,0,41
"Brunswick County",-,"Ab - Central Absentee Precinct",9,2,1,0,12
"Brunswick County",-,Provisional,0,0,0,0,0
"Buchanan County",-,"102 - Blackey",6,9,1,0,16
"Buchanan County",-,"103 - Hurley",30,22,1,0,53
"Buchanan County",-,"201 - Grassy",2,1,0,0,3
"Buchanan County",-,"202 - Bull",13,18,1,0,32
"Buchanan County",-,"203 - Rocklick",10,6,0,0,16
"Buchanan County",-,"301 - Slate",19,5,0,0,24
"Buchanan County",-,"302 - North Grundy",7,18,0,0,25
"Buchanan County",-,"403 - South Grundy",19,14,0,0,33
"Buchanan County",-,"404 - Oakwood",0,2,0,0,2
"Buchanan County",-,"501 - Prater",6,6,0,0,12
"Buchanan County",-,"502 - Fox",2,4,0,0,6
"Buchanan County",-,"503 - Vansant",4,8,0,0,12
"Buchanan County",-,"601 - Council",5,6,0,0,11
"Buchanan County",-,"602 - Garden",12,7,1,0,20
"Buchanan County",-,"603 - Hurricane",3,10,1,0,14
"Buchanan County",-,"701 - Whitewood",8,24,1,0,33
"Buchanan County",-,"702 - Contrary",6,15,0,0,21
"Buchanan County",-,"Ab - Central Absentee Precinct",23,9,1,0,33
"Buchanan County",-,Provisional,0,0,0,0,0
"Buckingham County",-,"101 - New Canton",61,57,4,0,122
"Buckingham County",-,"102 - Georgia Creek",3,29,2,0,34
"Buckingham County",-,"201 - White Hall",41,22,8,0,71
"Buckingham County",-,"301 - Curdsville",42,40,5,0,87
"Buckingham County",-,"302 - New Store",53,38,7,0,98
"Buckingham County",-,"401 - Maysville",53,65,9,0,127
"Buckingham County",-,"501 - Wrights",27,34,2,0,63
"Buckingham County",-,"502 - Glenmore",20,51,5,0,76
"Buckingham County",-,"601 - Slate River",21,50,4,0,75
"Buckingham County",-,"701 - Gold Hill",32,39,6,0,77
"Buckingham County",-,"Ab - Central Absentee Precinct",17,5,1,0,23
"Buckingham County",-,Provisional,0,0,0,0,0
"Buena Vista City",-,"1 - First Ward",70,43,18,0,131
"Buena Vista City",-,"2 - Second Ward",48,35,11,0,94
"Buena Vista City",-,Provisional,0,0,0,0,0
"Campbell County",-,"101 - Brookville",128,149,21,0,298
"Campbell County",-,"102 - New London",94,166,17,0,277
"Campbell County",-,"201 - Walker",81,99,9,0,189
"Campbell County",-,"202 - Bedford Springs",117,168,25,0,310
"Campbell County",-,"301 - Evington",30,48,6,0,84
"Campbell County",-,"302 - Otter River",23,52,3,0,78
"Campbell County",-,"303 - Altavista",74,96,17,0,187
"Campbell County",-,"401 - Three Forks",62,121,9,0,192
"Campbell County",-,"402 - Court House",95,183,26,0,304
"Campbell County",-,"501 - Spring Hill",95,149,15,0,259
"Campbell County",-,"502 - Yellow Branch",42,105,7,0,154
"Campbell County",-,"601 - Kings",60,85,13,0,158
"Campbell County",-,"602 - Concord",86,129,33,0,248
"Campbell County",-,"701 - Brookneal",38,67,6,0,111
"Campbell County",-,"702 - Gladys",48,101,15,0,164
"Campbell County",-,"703 - Morris Church",29,45,5,0,79
"Campbell County",-,"Ab - Central Absentee Precinct",47,15,8,0,70
"Campbell County",-,Provisional,0,0,0,0,0
"Caroline County",-,"101 - Bowling Green",111,56,7,0,174
"Caroline County",-,"102 - Sparta",59,44,5,0,108
"Caroline County",-,"201 - North Madison",24,56,6,0,86
"Caroline County",-,"202 - South Madison",56,43,9,0,108
"Caroline County",-,"301 - Port Royal",38,48,8,0,94
"Caroline County",-,"302 - Woodford",115,88,14,0,217
"Caroline County",-,"401 - Dawn",41,64,3,0,108
"Caroline County",-,"402 - Carmel Church",12,23,0,0,35
"Caroline County",-,"501 - West Mattaponi",37,37,2,0,76
"Caroline County",-,"502 - Milford",37,44,5,0,86
"Caroline County",-,"601 - Chilesburg",60,45,5,0,110
"Caroline County",-,"602 - Lake",35,47,7,0,89
"Caroline County",-,"Ab - Central Absentee Precinct",27,16,6,0,49
"Caroline County",-,Provisional,0,0,0,0,0
"Carroll County",-,"101 - Mt Bethel",27,39,6,0,72
"Carroll County",-,"102 - St Paul",49,99,17,1,166
"Carroll County",-,"103 - Lambsburg",49,63,7,0,119
"Carroll County",-,"105 - Fancy Gap",30,41,14,0,85
"Carroll County",-,"201 - Hillsville B",116,124,18,0,258
"Carroll County",-,"202 - Laurel Fork",43,23,10,0,76
"Carroll County",-,"203 - Gladesboro",50,41,12,0,103
"Carroll County",-,"301 - Hillsville C",84,64,4,0,152
"Carroll County",-,"302 - Sylvatus",25,30,8,0,63
"Carroll County",-,"303 - Dugspur",19,20,1,0,40
"Carroll County",-,"402 - Woodlawn D",29,80,16,0,125
"Carroll County",-,"403 - Oakland D",22,43,5,0,70
"Carroll County",-,"405 - Oakland A",19,23,2,0,44
"Carroll County",-,"406 - Woodlawn F",10,18,1,0,29
"Carroll County",-,"501 - Vaughan",18,31,2,0,51
"Carroll County",-,"502 - Gladeville",55,65,9,0,129
"Carroll County",-,"503 - Woodlawn E",28,29,5,0,62
"Carroll County",-,"504 - Laurel",32,32,2,0,66
"Carroll County",-,"Ab - Central Absentee Precinct",45,16,2,0,63
"Carroll County",-,Provisional,0,0,0,0,0
"Charles City County",-,"101 - Precinct 1-1",27,54,8,0,89
"Charles City County",-,"201 - Precinct 2-1",16,30,4,0,50
"Charles City County",-,"301 - Precinct 3-1",48,41,9,0,98
"Charles City County",-,"Ab - Central Absentee Precinct",8,4,1,0,13
"Charles City County",-,Provisional,0,0,0,0,0
"Charlotte County",-,"101 - County Seat",40,40,12,0,92
"Charlotte County",-,"201 - Red Oak Wylliesburg",37,52,4,0,93
"Charlotte County",-,"302 - Drakes Branch",25,22,1,0,48
"Charlotte County",-,"401 - Keysville",37,32,4,0,73
"Charlotte County",-,"501 - Cullen/Red House",30,32,5,0,67
"Charlotte County",-,"602 - Phenix",34,49,9,0,92
"Charlotte County",-,"702 - Bacon/Saxe",17,35,3,0,55
"Charlotte County",-,"Ab - Central Absentee Precinct",3,4,0,0,7
"Charlotte County",-,Provisional,1,0,0,0,1
"Charlottesville City",-,"101 - Recreation",33,28,9,0,70
"Charlottesville City",-,"102 - Clark",16,36,6,0,58
"Charlottesville City",-,"201 - Carver",15,13,2,0,30
"Charlottesville City",-,"202 - Walker",55,35,17,0,107
"Charlottesville City",-,"301 - Benjamin Tonsler",28,14,3,0,45
"Charlottesville City",-,"302 - Johnson",34,47,7,0,88
"Charlottesville City",-,"303 - Buford",5,12,2,0,19
"Charlottesville City",-,"401 - Venable",7,3,2,0,12
"Charlottesville City",-,"402 - Alumni Hall",35,15,6,0,56
"Charlottesville City",-,"Ab - Central Absentee Precinct",25,12,4,0,41
"Charlottesville City",-,Provisional,0,0,0,0,0
"Chesapeake City",-,"1 - Great Bridge (CD 4)",133,106,81,0,320
"Chesapeake City",-,"2 - Bethel (CD 4)",121,103,92,0,316
"Chesapeake City",-,"3 - Camelot (CD 3)",23,12,7,0,42
"Chesapeake City",-,"4 - Churchland (CD 3)",112,77,69,0,258
"Chesapeake City",-,"5 - Crestwood (CD 3)",9,10,11,0,30
"Chesapeake City",-,"6 - Deep Creek (CD 4)",109,99,76,0,284
"Chesapeake City",-,"7 - Greenbrier (CD 4)",136,94,82,0,312
"Chesapeake City",-,"8 - South Norfolk Recreation (CD 3)",74,74,59,0,207
"Chesapeake City",-,"9 - Bells Mill (CD 4)",210,158,114,0,482
"Chesapeake City",-,"10 - Oscar Smith (CD 3)",47,25,28,0,100
"Chesapeake City",-,"11 - Geneva Park (CD 3)",65,55,37,0,157
"Chesapeake City",-,"12 - Georgetown (CD 3)",21,14,13,0,48
"Chesapeake City",-,"13 - Gilmerton (CD 3)",67,65,41,0,173
"Chesapeake City",-,"14 - Grassfield (CD 4)",32,20,18,0,70
"Chesapeake City",-,"15 - B M Williams (CD 3)",36,47,24,0,107
"Chesapeake City",-,"16 - Hickory Grove (CD 4)",108,110,72,0,290
"Chesapeake City",-,"17 - Indian Creek (CD 4)",62,70,63,0,195
"Chesapeake City",-,"18 - Indian River (CD 3)",32,40,14,0,86
"Chesapeake City",-,"19 - Jolliff (CD 4)",99,72,64,0,235
"Chesapeake City",-,"20 - E W Chittum (CD 3)",1,0,0,0,1
"Chesapeake City",-,"20 - E W Chittum (CD 4)",116,88,88,0,292
"Chesapeake City",-,"21 - Fellowship (CD 3)",100,99,88,0,287
"Chesapeake City",-,"22 - Norfolk Highlands (CD 3)",46,50,47,0,143
"Chesapeake City",-,"23 - Oak Grove (CD 4)",80,49,37,0,166
"Chesapeake City",-,"24 - Oaklette (CD 3)",45,50,40,0,135
"Chesapeake City",-,"25 - St Julians (CD 3)",32,34,21,0,87
"Chesapeake City",-,"26 - Johnson Park (CD 3)",21,19,17,0,57
"Chesapeake City",-,"27 - Silverwood (CD 3)",145,94,109,0,348
"Chesapeake City",-,"28 - Sunray I (CD 4)",20,29,14,0,63
"Chesapeake City",-,"29 - Tanglewood (CD 3)",98,90,61,0,249
"Chesapeake City",-,"30 - South Norfolk (CD 3)",1,2,1,0,4
"Chesapeake City",-,"31 - Carver School (CD 3)",21,9,7,0,37
"Chesapeake City",-,"32 - Providence (CD 3)",6,4,6,0,16
"Chesapeake City",-,"33 - Westover (CD 3)",55,58,28,0,141
"Chesapeake City",-,"34 - Hickory Middle School (CD 4)",139,166,86,0,391
"Chesapeake City",-,"35 - Taylor Road (CD 3)",31,45,25,0,101
"Chesapeake City",-,"36 - Great Bridge Baptist Church (CD 4)",142,101,124,0,367
"Chesapeake City",-,"37 - Bridgetown (CD 4)",114,56,62,0,232
"Chesapeake City",-,"38 - Bailey Creek (CD 3)",113,107,78,0,298
"Chesapeake City",-,"39 - Lake Drummond (CD 4)",59,60,33,0,152
"Chesapeake City",-,"40 - River Birch (CD 3)",110,61,73,0,244
