County/City,Ward,Pct,"Corey Alan Stewart","Nicholas Jason Freitas","Earl Walker Jackson, Sr.","All Others","Total Votes Cast"
"Alleghany County",-,"301 - Callaghan",17,4,1,0,22
"Alleghany County",-,"302 - Griffith",23,17,8,0,48
"Alleghany County",-,"401 - Low Moor",22,8,1,0,31
"Alleghany County",-,"402 - Jackson Heights",19,8,5,0,32
"Alleghany County",-,"501 - Iron Gate",10,3,1,0,14
"Alleghany County",-,"502 - Peters Switch",34,15,3,0,52
"Alleghany County",-,"601 - District 1",18,21,3,0,42
"Alleghany County",-,"701 - District 2",18,11,0,0,29
"Alleghany County",-,"Ab - Central Absentee Precinct",1,3,0,0,4
"Alleghany County",-,Provisional,0,0,0,0,0
"Amelia County",-,"101 - Number One",41,82,5,0,128
"Amelia County",-,"201 - Number Two",49,93,2,0,144
"Amelia County",-,"301 - Number Three",51,112,5,0,168
"Amelia County",-,"401 - Number Four",42,140,7,0,189
"Amelia County",-,"501 - Number Five",62,121,5,0,188
"Amelia County",-,"Ab - Central Absentee Precinct",10,19,0,0,29
"Amelia County",-,Provisional,0,0,0,0,0
"Amherst County",-,"101 - Wright Shop",23,19,0,0,42
"Amherst County",-,"102 - New Glasgow",58,27,16,0,101
"Amherst County",-,"103 - Coolwell",27,21,8,0,56
"Amherst County",-,"201 - Court House",125,64,14,0,203
"Amherst County",-,"202 - Temperance",35,25,5,0,65
"Amherst County",-,"301 - Monroe",59,22,10,0,91
"Amherst County",-,"302 - Elon",121,58,19,0,198
"Amherst County",-,"303 - Pleasant View",11,27,5,0,43
"Amherst County",-,"401 - Amelon",88,74,18,0,180
"Amherst County",-,"402 - Lonco",24,14,9,0,47
"Amherst County",-,"501 - Madison",87,38,19,0,144
"Amherst County",-,"Ab - Central Absentee Precinct",19,14,11,0,44
"Amherst County",-,Provisional,0,0,0,0,0
"Appomattox County",-,"101 - Vera",33,33,2,0,68
"Appomattox County",-,"102 - Pamplin",60,24,14,0,98
"Appomattox County",-,"201 - Chap",22,11,5,0,38
"Appomattox County",-,"202 - Spout Spring",86,66,10,0,162
"Appomattox County",-,"301 - Us 460",50,38,7,0,95
"Appomattox County",-,"302 - Stonewall",69,34,9,0,112
"Appomattox County",-,"401 - Courthouse",82,53,9,0,144
"Appomattox County",-,"501 - Oakville",42,47,7,0,96
"Appomattox County",-,"502 - Agee",21,26,0,0,47
"Appomattox County",-,"Ab - Central Absentee Precinct",10,9,1,0,20
"Appomattox County",-,Provisional,0,0,0,0,0
"Arlington County",-,"1 - Arlington",14,19,6,0,39
"Arlington County",-,"2 - Ashton Heights",16,33,6,0,55
"Arlington County",-,"3 - Aurora Hills",40,44,3,0,87
"Arlington County",-,"4 - Ballston",25,39,9,0,73
"Arlington County",-,"5 - Barcroft",23,31,6,0,60
"Arlington County",-,"6 - Crystal City",17,32,14,0,63
"Arlington County",-,"7 - Cherrydale",26,35,11,0,72
"Arlington County",-,"8 - Hume",31,45,11,0,87
"Arlington County",-,"9 - Columbia",32,43,6,0,81
"Arlington County",-,"10 - Wilson",32,52,10,0,94
"Arlington County",-,"11 - East Falls Church",16,26,5,0,47
"Arlington County",-,"12 - Fairlington",37,60,11,0,108
"Arlington County",-,"13 - Glen Carlyn",20,15,6,0,41
"Arlington County",-,"14 - Clarendon",16,25,3,0,44
"Arlington County",-,"15 - Lyon Park",13,23,4,0,40
"Arlington County",-,"16 - Lyon Village",19,31,3,0,53
"Arlington County",-,"17 - Overlee Knolls",33,43,7,0,83
"Arlington County",-,"18 - Park Lane",24,69,2,0,95
"Arlington County",-,"19 - Rosslyn",30,51,10,0,91
"Arlington County",-,"20 - Thrifton",18,68,12,0,98
"Arlington County",-,"21 - Virginia Highlands",27,45,9,0,81
"Arlington County",-,"22 - Abingdon",45,64,7,0,116
"Arlington County",-,"23 - Westover",25,38,7,0,70
"Arlington County",-,"24 - Woodlawn",22,44,4,0,70
"Arlington County",-,"25 - Arlington Forest",40,40,7,0,87
"Arlington County",-,"26 - Fillmore",15,42,2,0,59
"Arlington County",-,"27 - Jefferson",27,23,1,0,51
"Arlington County",-,"28 - Wakefield",22,26,9,0,57
"Arlington County",-,"29 - Dominion Hills",19,32,6,0,57
"Arlington County",-,"30 - Glebe",16,19,6,0,41
"Arlington County",-,"31 - Lexington",30,40,7,0,77
"Arlington County",-,"32 - Oakridge",22,30,5,0,57
"Arlington County",-,"33 - Rock Spring",35,38,13,0,86
"Arlington County",-,"34 - Yorktown",18,47,5,0,70
"Arlington County",-,"35 - Madison",50,67,15,0,132
"Arlington County",-,"36 - Marshall",32,39,8,0,79
"Arlington County",-,"37 - Nottingham",18,31,3,0,52
"Arlington County",-,"38 - Arlington View",10,29,4,0,43
"Arlington County",-,"39 - Ashlawn",19,26,6,0,51
"Arlington County",-,"40 - Virginia Square",20,60,7,0,87
"Arlington County",-,"41 - Navy League",17,40,6,0,63
"Arlington County",-,"42 - Shirlington",17,26,3,0,46
"Arlington County",-,"43 - Campbell",4,9,1,0,14
"Arlington County",-,"44 - Dawson Terrace",14,25,5,0,44
"Arlington County",-,"45 - Buckingham",17,23,4,0,44
"Arlington County",-,"46 - Central",22,43,16,0,81
"Arlington County",-,"47 - Four Mile Run",13,18,7,0,38
"Arlington County",-,"48 - Ausa",14,27,3,0,44
"Arlington County",-,"49 - Monroe",6,20,6,0,32
"Arlington County",-,"50 - Crystal Plaza",24,49,9,0,82
"Arlington County",-,"51 - Taylor",29,12,7,0,48
"Arlington County",-,"52 - Gunston",10,22,0,0,32
"Arlington County",-,"53 - Met Park",19,46,7,0,72
"Arlington County",-,"54 - Garfield Park",15,24,3,0,42
"Arlington County",-,"Ab - Central Absentee Precinct",55,120,24,0,199
"Arlington County",-,Provisional,0,1,0,0,1
"Augusta County",-,"101 - Jolivue",55,23,9,0,87
"Augusta County",-,"102 - Stuarts Draft Elementary",49,24,9,0,82
"Augusta County",-,"103 - Verona",80,37,10,0,127
"Augusta County",-,"201 - Crimora",75,38,9,0,122
"Augusta County",-,"202 - New Hope",53,39,11,0,103
"Augusta County",-,"203 - Weyers Cave",72,42,30,0,144
"Augusta County",-,"301 - Fort Defiance",163,62,29,0,254
"Augusta County",-,"302 - North River",39,22,3,0,64
"Augusta County",-,"303 - Mount Solon",66,14,18,0,98
"Augusta County",-,"304 - Churchville Fire Station",51,22,10,0,83
"Augusta County",-,"401 - Buffalo Gap",60,22,10,0,92
"Augusta County",-,"402 - Churchville Elementary",61,31,8,0,100
"Augusta County",-,"403 - Craigsville",24,11,7,0,42
"Augusta County",-,"404 - Deerfield",38,4,1,0,43
"Augusta County",-,"405 - Cedar Green",69,37,21,0,127
"Augusta County",-,"501 - Greenville",73,38,14,0,125
"Augusta County",-,"502 - Middlebrook",53,18,7,0,78
"Augusta County",-,"503 - Spottswood",49,28,13,0,90
"Augusta County",-,"504 - White Hill",99,43,18,0,160
"Augusta County",-,"601 - Sherando",87,32,10,0,129
"Augusta County",-,"602 - Ridgeview",156,73,30,0,259
"Augusta County",-,"603 - Lyndhurst",90,50,17,0,157
"Augusta County",-,"801 - Dooms",84,46,2,0,132
"Augusta County",-,"802 - Fishersville",129,87,29,0,245
"Augusta County",-,"803 - Wilson",93,25,19,0,137
"Augusta County",-,"Ab - Central Absentee Precinct",38,29,13,0,80
"Augusta County",-,Provisional,0,0,0,0,0
"Bath County",-,"101 - Warm Springs",17,14,11,0,42
"Bath County",-,"102 - Mountain Grove",8,4,2,0,14
"Bath County",-,"201 - Hot Springs",12,8,6,0,26
"Bath County",-,"301 - Fairview",16,15,2,0,33
"Bath County",-,"302 - Burnsville",1,0,8,0,9
"Bath County",-,"401 - Millboro",14,9,1,0,24
"Bath County",-,"501 - Healing Springs",12,12,6,0,30
"Bath County",-,"Ab - Central Absentee Precinct",3,2,3,0,8
"Bath County",-,Provisional,0,0,0,0,0
"Bedford County",-,"101 - Goodview Elem School (CD 5)",86,40,11,0,137
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",39,16,12,0,67
"Bedford County",-,"103 - Chamblissburg Baptist Church (CD 5)",74,39,13,0,126
"Bedford County",-,"104 - Stewartsville Rescue Squad (CD 5)",57,20,11,0,88
"Bedford County",-,"201 - Bedford Christian Church (CD 5)",54,17,7,0,78
"Bedford County",-,"202 - Staunton River High School (CD 5)",49,36,15,0,100
"Bedford County",-,"203 - Moneta Elem School (CD 5)",76,83,16,0,175
"Bedford County",-,"204 - Quaker Baptist Church (CD 5)",37,20,5,0,62
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",88,82,14,0,184
"Bedford County",-,"301 - New London Academy (CD 6)",66,120,16,0,202
"Bedford County",-,"302 - Bedford Regional Water Auth (CD 5)",88,68,16,0,172
"Bedford County",-,"303 - Bethesda United Methodist Church (CD 5)",58,38,7,0,103
"Bedford County",-,"304 - The Well Church (CD 6)",50,44,2,0,96
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",40,21,4,0,65
"Bedford County",-,"306 - Forest Fire Station #2 (CD 6)",78,49,13,0,140
"Bedford County",-,"401 - Forest Elementary School (CD 6)",85,120,10,0,215
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",51,46,15,0,112
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)",99,110,14,0,223
"Bedford County",-,"404 - St. Paul Baptist Church (CD 6)",99,108,12,0,219
"Bedford County",-,"502 - Big Island Elem School (CD 6)",18,8,4,0,30
"Bedford County",-,"503 - Sedalia Center (CD 6)",41,17,7,0,65
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",89,25,11,0,125
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",102,87,23,0,212
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",92,98,22,0,212
"Bedford County",-,"601 - Montvale Elem School (CD 6)",78,43,9,0,130
"Bedford County",-,"602 - Shady Grove Fire Department (CD 5)",82,40,8,0,130
"Bedford County",-,"603 - Thaxton Baptist Church #1 (CD 5)",24,8,0,0,32
"Bedford County",-,"604 - Bedford Welcome Center (CD 5)",95,56,19,0,170
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)",139,75,16,0,230
"Bedford County",-,"702 - Liberty High School (CD 5)",88,38,10,0,136
"Bedford County",-,"703 - Thaxton Baptist Church #2 (CD 5)",68,30,14,0,112
"Bedford County",-,"704 - Bedford Central Library (CD 5)",92,45,9,0,146
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)",27,21,7,0,55
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)",11,25,6,0,42
"Bedford County",-,"Provisional (CD 5)",0,1,0,0,1
"Bedford County",-,"Provisional (CD 6)",0,0,0,0,0
"Bland County",-,"101 - Bastian",22,5,2,0,29
"Bland County",-,"102 - Ceres",14,4,6,0,24
"Bland County",-,"201 - Davis",12,3,0,0,15
"Bland County",-,"202 - Seddon",31,16,12,0,59
"Bland County",-,"301 - Hollybrook",15,6,2,0,23
"Bland County",-,"302 - Mechanicsburg",11,6,1,0,18
"Bland County",-,"401 - Rocky Gap",34,30,7,0,71
"Bland County",-,"Ab - Central Absentee Precinct",1,6,0,0,7
"Bland County",-,Provisional,0,0,0,0,0
"Botetourt County",-,"101 - Daleville",79,51,8,0,138
"Botetourt County",-,"102 - Greenfield",103,96,26,0,225
"Botetourt County",-,"201 - Blue Ridge",91,87,14,0,192
"Botetourt County",-,"202 - Rainbow Forest",75,70,10,0,155
"Botetourt County",-,"301 - Buchanan",48,44,11,0,103
"Botetourt County",-,"302 - Mill Creek",69,34,4,0,107
"Botetourt County",-,"403 - Eagle Rock",41,32,8,0,81
"Botetourt County",-,"406 - Fincastle",82,73,16,0,171
"Botetourt County",-,"501 - Troutville",45,38,6,0,89
"Botetourt County",-,"502 - Cloverdale",111,83,11,0,205
"Botetourt County",-,"Ab - Central Absentee Precinct",19,18,3,0,40
"Botetourt County",-,Provisional,0,0,0,0,0
"Bristol City",-,"1 - First Ward",51,15,2,0,68
"Bristol City",-,"2 - Second Ward",67,31,8,0,106
"Bristol City",-,"3 - Third Ward",29,7,3,0,39
"Bristol City",-,"4 - Fourth Ward",86,26,11,0,123
"Bristol City",-,"Ab - Central Absentee Precinct",5,7,1,0,13
"Bristol City",-,Provisional,0,0,0,0,0
"Brunswick County",-,"101 - Brodnax",14,12,0,0,26
"Brunswick County",-,"102 - Rock Store",13,9,5,0,27
"Brunswick County",-,"103 - Tillman",27,26,10,0,63
"Brunswick County",-,"201 - Dromgoole",0,4,0,0,4
"Brunswick County",-,"202 - Edgerton",5,15,1,0,21
"Brunswick County",-,"203 - Fitzhugh",9,8,2,0,19
"Brunswick County",-,"301 - Alberta",6,5,4,0,15
"Brunswick County",-,"302 - Danieltown",19,15,4,0,38
"Brunswick County",-,"303 - Elmore",8,5,0,0,13
"Brunswick County",-,"304 - Seymour",3,10,2,0,15
"Brunswick County",-,"401 - Sturgeon",10,12,7,0,29
"Brunswick County",-,"402 - King's Store",7,5,7,0,19
"Brunswick County",-,"501 - Totaro",12,14,3,0,29
"Brunswick County",-,"Ab - Central Absentee Precinct",5,3,1,0,9
"Brunswick County",-,Provisional,0,0,0,0,0
"Buchanan County",-,"102 - Blackey",3,11,0,0,14
"Buchanan County",-,"103 - Hurley",14,30,0,0,44
"Buchanan County",-,"201 - Grassy",3,0,0,0,3
"Buchanan County",-,"202 - Bull",13,3,0,0,16
"Buchanan County",-,"203 - Rocklick",5,9,1,0,15
"Buchanan County",-,"301 - Slate",9,6,0,0,15
"Buchanan County",-,"302 - North Grundy",6,14,2,0,22
"Buchanan County",-,"403 - South Grundy",15,18,0,0,33
"Buchanan County",-,"404 - Oakwood",3,1,0,0,4
"Buchanan County",-,"501 - Prater",2,1,0,0,3
"Buchanan County",-,"502 - Fox",0,0,2,0,2
"Buchanan County",-,"503 - Vansant",6,11,1,0,18
"Buchanan County",-,"601 - Council",3,0,0,0,3
"Buchanan County",-,"602 - Garden",4,10,0,0,14
"Buchanan County",-,"603 - Hurricane",2,6,0,0,8
"Buchanan County",-,"701 - Whitewood",9,11,1,0,21
"Buchanan County",-,"702 - Contrary",4,5,0,0,9
"Buchanan County",-,"Ab - Central Absentee Precinct",12,9,2,0,23
"Buchanan County",-,Provisional,0,0,0,0,0
"Buckingham County",-,"101 - New Canton",56,39,14,0,109
"Buckingham County",-,"102 - Georgia Creek",19,12,3,0,34
"Buckingham County",-,"201 - White Hall",25,30,5,0,60
"Buckingham County",-,"301 - Curdsville",23,42,17,0,82
"Buckingham County",-,"302 - New Store",42,29,4,0,75
"Buckingham County",-,"401 - Maysville",54,37,13,0,104
"Buckingham County",-,"501 - Wrights",24,33,4,0,61
"Buckingham County",-,"502 - Glenmore",39,22,12,0,73
"Buckingham County",-,"601 - Slate River",34,16,14,0,64
"Buckingham County",-,"701 - Gold Hill",31,29,11,0,71
"Buckingham County",-,"Ab - Central Absentee Precinct",12,20,3,0,35
"Buckingham County",-,Provisional,0,0,0,0,0
"Buena Vista City",-,"1 - First Ward",43,28,14,0,85
"Buena Vista City",-,"2 - Second Ward",29,26,5,0,60
"Buena Vista City",-,Provisional,0,0,0,0,0
"Campbell County",-,"101 - Brookville",121,90,20,0,231
"Campbell County",-,"102 - New London",131,59,16,0,206
"Campbell County",-,"201 - Walker",87,45,15,0,147
"Campbell County",-,"202 - Bedford Springs",90,81,22,0,193
"Campbell County",-,"301 - Evington",43,22,6,0,71
"Campbell County",-,"302 - Otter River",23,22,5,0,50
"Campbell County",-,"303 - Altavista",87,58,10,0,155
"Campbell County",-,"401 - Three Forks",96,41,6,0,143
"Campbell County",-,"402 - Court House",131,74,18,0,223
"Campbell County",-,"501 - Spring Hill",96,53,21,0,170
"Campbell County",-,"502 - Yellow Branch",68,26,7,0,101
"Campbell County",-,"601 - Kings",59,45,10,0,114
"Campbell County",-,"602 - Concord",89,58,18,0,165
"Campbell County",-,"701 - Brookneal",46,43,10,0,99
"Campbell County",-,"702 - Gladys",78,48,10,0,136
"Campbell County",-,"703 - Morris Church",31,34,1,0,66
"Campbell County",-,"Ab - Central Absentee Precinct",29,27,9,0,65
"Campbell County",-,Provisional,0,0,0,0,0
"Caroline County",-,"101 - Bowling Green",23,141,6,0,170
"Caroline County",-,"102 - Sparta",22,88,9,0,119
"Caroline County",-,"201 - North Madison",37,36,2,0,75
"Caroline County",-,"202 - South Madison",25,67,4,0,96
"Caroline County",-,"301 - Port Royal",31,21,2,0,54
"Caroline County",-,"302 - Woodford",35,67,8,0,110
"Caroline County",-,"401 - Dawn",38,41,5,0,84
"Caroline County",-,"402 - Carmel Church",14,21,1,0,36
"Caroline County",-,"501 - West Mattaponi",31,33,1,0,65
"Caroline County",-,"502 - Milford",29,43,2,0,74
"Caroline County",-,"601 - Chilesburg",29,65,7,0,101
"Caroline County",-,"602 - Lake",16,42,8,0,66
"Caroline County",-,"Ab - Central Absentee Precinct",22,30,3,0,55
"Caroline County",-,Provisional,0,0,0,0,0
"Carroll County",-,"101 - Mt Bethel",26,1,2,0,29
"Carroll County",-,"102 - St Paul",34,16,7,0,57
"Carroll County",-,"103 - Lambsburg",19,3,4,0,26
"Carroll County",-,"105 - Fancy Gap",26,25,1,0,52
"Carroll County",-,"201 - Hillsville B",57,26,9,1,93
"Carroll County",-,"202 - Laurel Fork",23,11,6,0,40
"Carroll County",-,"203 - Gladesboro",26,18,3,0,47
"Carroll County",-,"301 - Hillsville C",54,21,9,0,84
"Carroll County",-,"302 - Sylvatus",21,15,3,0,39
"Carroll County",-,"303 - Dugspur",14,6,2,0,22
"Carroll County",-,"401 - Oakland",62,13,8,0,83
"Carroll County",-,"402 - Woodlawn D",50,26,4,0,80
"Carroll County",-,"406 - Woodlawn F",1,8,2,0,11
"Carroll County",-,"501 - Vaughan",33,9,5,0,47
"Carroll County",-,"502 - Gladeville",32,30,6,0,68
"Carroll County",-,"503 - Woodlawn E",23,15,1,0,39
"Carroll County",-,"504 - Laurel",14,6,2,0,22
"Carroll County",-,"Ab - Central Absentee Precinct",15,14,6,0,35
"Carroll County",-,Provisional,0,0,0,0,0
"Charles City County",-,"101 - Precinct 1-1",38,38,17,0,93
"Charles City County",-,"201 - Precinct 2-1",22,38,14,0,74
"Charles City County",-,"301 - Precinct 3-1",44,41,29,0,114
"Charles City County",-,"Ab - Central Absentee Precinct",3,3,2,0,8
"Charles City County",-,Provisional,0,0,0,0,0
"Charlotte County",-,"101 - County Seat",27,49,11,0,87
"Charlotte County",-,"201 - Red Oak Wylliesburg",26,23,0,0,49
"Charlotte County",-,"302 - Drakes Branch",26,15,3,0,44
"Charlotte County",-,"401 - Keysville",27,24,6,0,57
"Charlotte County",-,"501 - Cullen/Red House",23,21,16,0,60
"Charlotte County",-,"602 - Phenix",21,33,11,0,65
"Charlotte County",-,"702 - Bacon/Saxe",16,12,4,0,32
"Charlotte County",-,"Ab - Central Absentee Precinct",2,4,0,0,6
"Charlotte County",-,Provisional,0,0,0,0,0
"Charlottesville City",-,"101 - Recreation",32,48,16,0,96
"Charlottesville City",-,"102 - Clark",19,35,18,0,72
"Charlottesville City",-,"201 - Carver",13,26,18,1,58
"Charlottesville City",-,"202 - Walker",42,44,24,0,110
"Charlottesville City",-,"301 - Benjamin Tonsler",7,41,14,0,62
"Charlottesville City",-,"302 - Johnson",35,60,16,0,111
"Charlottesville City",-,"303 - Buford",6,21,6,0,33
"Charlottesville City",-,"401 - Venable",0,17,2,0,19
"Charlottesville City",-,"402 - Alumni Hall",16,34,7,0,57
"Charlottesville City",-,"Ab - Central Absentee Precinct",11,35,9,0,55
"Charlottesville City",-,Provisional,0,0,0,0,0
"Chesapeake City",-,"1 - Great Bridge (CD 4)",55,68,51,0,174
"Chesapeake City",-,"2 - Bethel (CD 4)",43,96,42,0,181
"Chesapeake City",-,"3 - Camelot (CD 3)",5,7,21,0,33
"Chesapeake City",-,"4 - Churchland (CD 3)",39,53,33,0,125
"Chesapeake City",-,"5 - Crestwood (CD 3)",7,11,14,0,32
"Chesapeake City",-,"6 - Deep Creek (CD 4)",75,81,59,0,215
"Chesapeake City",-,"7 - Greenbrier (CD 4)",65,75,58,0,198
"Chesapeake City",-,"8 - South Norfolk Recreation (CD 3)",53,53,40,0,146
"Chesapeake City",-,"9 - Bells Mill (CD 4)",103,151,70,0,324
"Chesapeake City",-,"10 - Oscar Smith (CD 3)",26,22,15,0,63
"Chesapeake City",-,"11 - Geneva Park (CD 3)",36,36,26,0,98
"Chesapeake City",-,"12 - Georgetown (CD 3)",11,9,17,0,37
"Chesapeake City",-,"13 - Gilmerton (CD 3)",36,42,36,0,114
"Chesapeake City",-,"14 - Grassfield (CD 4)",28,22,10,0,60
"Chesapeake City",-,"15 - B M Williams (CD 3)",24,31,29,0,84
"Chesapeake City",-,"16 - Hickory Grove (CD 4)",69,98,40,0,207
"Chesapeake City",-,"17 - Indian Creek (CD 4)",51,58,30,0,139
"Chesapeake City",-,"18 - Indian River (CD 3)",19,29,17,0,65
"Chesapeake City",-,"19 - Jolliff (CD 4)",37,48,26,0,111
"Chesapeake City",-,"20 - E W Chittum (CD 3)",0,0,0,0,0
"Chesapeake City",-,"20 - E W Chittum (CD 4)",46,39,36,0,121
"Chesapeake City",-,"21 - Fellowship (CD 3)",57,54,32,0,143
"Chesapeake City",-,"22 - Norfolk Highlands (CD 3)",35,42,34,0,111
"Chesapeake City",-,"23 - Oak Grove (CD 4)",42,56,45,0,143
"Chesapeake City",-,"24 - Oaklette (CD 3)",32,23,21,0,76
"Chesapeake City",-,"25 - St Julians (CD 3)",22,19,15,0,56
"Chesapeake City",-,"26 - Johnson Park (CD 3)",20,14,15,0,49
"Chesapeake City",-,"27 - Silverwood (CD 3)",79,68,51,0,198
"Chesapeake City",-,"28 - Sunray I (CD 4)",26,12,4,0,42
"Chesapeake City",-,"29 - Tanglewood (CD 3)",50,45,60,0,155
"Chesapeake City",-,"30 - South Norfolk (CD 3)",2,1,0,0,3
"Chesapeake City",-,"31 - Carver School (CD 3)",15,10,13,0,38
"Chesapeake City",-,"32 - Providence (CD 3)",9,2,11,1,23
"Chesapeake City",-,"33 - Westover (CD 3)",44,27,33,0,104
"Chesapeake City",-,"34 - Hickory Middle School (CD 4)",72,121,68,0,261
"Chesapeake City",-,"35 - Taylor Road (CD 3)",23,20,11,0,54
"Chesapeake City",-,"36 - Great Bridge Baptist Church (CD 4)",80,109,64,0,253
"Chesapeake City",-,"37 - Bridgetown (CD 4)",48,60,35,0,143
