"","id_string","andrew_g_andy_baan","jarome_bell","jen_a_kiggans","l_tommy_altman_iii","fips"
"135","304 - NANSEMOND RIVER (02)",9,48,57,21,"51800"
"136","305 - SHOULDERS HILL (02)",4,28,14,6,"51800"
"137","401 - AIRPORT (02)",5,51,60,9,"51800"
"138","402 - WHALEYVILLE (02)",3,107,84,18,"51800"
"139","403 - SOUTHSIDE (02)",1,2,5,3,"51800"
"140","404 - BOOKER T WASHINGTON (02)",0,3,2,2,"51800"
"141","405 - PITTMANTOWN (02)",4,25,25,5,"51800"
"142","501 - KILBYS MILL (02)",8,88,88,20,"51800"
"143","502 - HOLLAND (02)",6,107,73,11,"51800"
"144","504 - LAKE COHOON (02)",10,140,153,43,"51800"
"145","601 - LAKESIDE (02)",7,58,74,28,"51800"
"146","602 - OLDE TOWNE (02)",1,11,14,1,"51800"
"147","603 - ELEPHANTS FORK/WESTHAVEN (02)",3,25,14,2,"51800"
"148","604 - WILROY (02)",0,43,33,17,"51800"
"149","605 - HOLLYWOOD (02)",0,1,0,0,"51800"
"150","702 - HARBOURVIEW (02)",8,58,97,15,"51800"
"151","704 - BURBAGE GRANT (02)",6,48,49,11,"51800"
"152","706 - HUNTERSVILLE (02)",3,23,22,3,"51800"
"153","Member House of Representatives (02)",1237,11330,23300,5972,"51800"
"154","Member House of Representatives (02) - SUFFOLK CITY",175,1549,1888,555,"51800"
"155","# AB - Central Absentee Precinct (02)",154,228,1118,167,"51810"
"156","# EV - Central Absentee Precinct (02)",44,301,958,256,"51810"
"157","# PE - Central Absentee Precinct (02)",8,31,112,20,"51810"
"158","## Provisional (02)",0,5,24,4,"51810"
"159","001 - NORTH BEACH (02)",4,69,335,35,"51810"
"160","002 - SOUTH BEACH (02)",4,39,105,20,"51810"
"161","003 - OCEAN LAKES (02)",2,38,77,19,"51810"
"162","004 - LINKHORN (02)",4,53,249,39,"51810"
"163","005 - SEATACK (02)",4,31,55,13,"51810"
"164","006 - ALANTON (02)",9,78,221,46,"51810"
"165","007 - KINGSTON (02)",5,47,203,28,"51810"
"166","008 - LONDON BRIDGE (02)",9,49,104,26,"51810"
"167","009 - TRANTWOOD (02)",12,84,309,19,"51810"
"168","010 - GREAT NECK (02)",8,75,362,28,"51810"
"169","011 - CAPE HENRY (02)",13,58,318,35,"51810"
"170","012 - PLAZA (02)",8,31,104,18,"51810"
"171","013 - MT TRASHMORE (02)",6,64,199,36,"51810"
"172","014 - MALIBU (02)",5,57,175,23,"51810"
"173","015 - OLD DONATION (02)",4,43,77,11,"51810"
"174","016 - ARAGONA (02)",9,71,128,16,"51810"
"175","017 - OCEAN PARK (02)",3,42,170,12,"51810"
"176","018 - THOROUGHGOOD (02)",2,50,299,35,"51810"
"177","019 - LAKE SMITH (02)",8,38,156,11,"51810"
"178","020 - BAYSIDE (02)",1,64,125,20,"51810"
"179","021 - DAVIS CORNER (02)",5,15,43,6,"51810"
"180","022 - POINT O VIEW (02)",4,37,174,23,"51810"
"181","023 - ARROWHEAD (02)",5,68,127,19,"51810"
"182","024 - LARKSPUR (02)",3,27,134,28,"51810"
"183","025 - AVALON (02)",7,60,181,52,"51810"
"184","026 - FAIRFIELD (02)",6,58,207,45,"51810"
"185","027 - EDWIN (02)",6,59,232,34,"51810"
"186","028 - THALIA (02)",6,55,166,22,"51810"
"187","029 - HOLLAND (02)",2,45,49,4,"51810"
"188","030 - RED WING (02)",4,51,145,73,"51810"
"189","031 - SIGMA (02)",6,64,197,149,"51810"
"190","032 - CREEDS (02)",1,57,91,70,"51810"
"191","033 - CAPPS SHOP (02)",1,57,119,47,"51810"
"192","034 - BLACKWATER (02)",2,23,65,34,"51810"
"193","035 - COURTHOUSE (02)",4,57,197,82,"51810"
"194","036 - WINDSOR OAKS (02)",4,54,95,14,"51810"
"195","037 - CHESAPEAKE BEACH (02)",9,42,103,23,"51810"
"196","038 - WITCHDUCK (02)",7,70,322,64,"51810"
"197","039 - PEMBROKE (02)",5,47,137,20,"51810"
"198","040 - BONNEY (02)",0,23,64,4,"51810"
"199","041 - COLLEGE PARK (02)",3,22,67,9,"51810"
"200","042 - BRANDON (02)",6,60,138,21,"51810"
"201","043 - BELLAMY (02)",4,23,59,2,"51810"
"202","044 - CENTERVILLE (02)",6,49,122,38,"51810"
"203","045 - TIMBERLAKE (02)",2,25,51,11,"51810"
"204","046 - GREEN RUN (02)",0,19,37,7,"51810"
"205","047 - KINGS GRANT (02)",3,53,375,67,"51810"
"206","048 - WOLFSNARE (02)",8,74,214,27,"51810"
"207","049 - LYNNHAVEN (02)",6,54,206,55,"51810"
"208","050 - OCEANA (02)",1,17,32,7,"51810"
"209","051 - STRATFORD CHASE (02)",6,37,141,19,"51810"
"210","052 - HOMESTEAD (02)",9,79,158,51,"51810"
"211","053 - SHANNON (02)",2,36,114,26,"51810"
"212","054 - CROMWELL (02)",2,44,38,6,"51810"
"213","055 - MAGIC HOLLOW (02)",4,24,34,19,"51810"
"214","056 - EDINBURGH (02)",8,41,118,8,"51810"
"215","057 - SHERRY PARK (02)",3,53,78,3,"51810"
"216","058 - GLENWOOD (02)",7,58,106,30,"51810"
"217","059 - SHELTON PARK (02)",7,38,92,14,"51810"
"218","060 - FOXFIRE (02)",5,78,165,69,"51810"
"219","061 - BAKER (02)",1,4,10,5,"51810"
"220","062 - LANDSTOWN (02)",8,66,142,42,"51810"
"221","063 - CULVER (02)",8,65,126,49,"51810"
"222","064 - ROSEMONT FOREST (02)",3,49,114,19,"51810"
"223","065 - COLONIAL (02)",1,28,87,39,"51810"
"224","066 - HUNT (02)",6,51,119,68,"51810"
"225","067 - EASTERN SHORE (02)",2,15,37,5,"51810"
"226","068 - MANOR (02)",3,52,223,18,"51810"
"227","069 - SHELL (02)",3,22,52,18,"51810"
"228","070 - CORPORATE LANDING (02)",5,65,66,18,"51810"
"229","071 - ROUND HILL (02)",4,25,62,5,"51810"
"230","072 - RUDEE (02)",5,44,172,27,"51810"
"231","073 - DAHLIA (02)",2,19,43,6,"51810"
"232","074 - BUCKNER (02)",2,28,46,6,"51810"
"233","075 - COLONY (02)",31,55,287,34,"51810"
"234","076 - VILLAGE (02)",2,14,36,5,"51810"
"235","077 - BROOKWOOD (02)",9,69,60,21,"51810"
"236","078 - INDIAN LAKES (02)",5,49,84,9,"51810"
"237","079 - PLEASANT HALL (02)",5,24,45,7,"51810"
"238","080 - CHIMNEY HILL (02)",3,29,39,6,"51810"
"239","081 - ROCK LAKE (02)",4,63,56,14,"51810"
"240","082 - SHELBURNE (02)",6,42,118,48,"51810"
"241","083 - STRAWBRIDGE (02)",6,72,131,49,"51810"
"242","084 - TALLWOOD (02)",5,27,75,13,"51810"
"243","085 - UPTON (02)",2,54,148,89,"51810"
"244","086 - HAYGOOD (02)",4,60,249,38,"51810"
"245","087 - HILLCREST (02)",5,51,129,18,"51810"
"246","088 - NORTH LANDING (02)",1,44,81,24,"51810"
"247","089 - LAKE CHRISTOPHER (02)",4,62,169,19,"51810"
"248","090 - LAKE JOYCE (02)",3,42,124,18,"51810"
"249","091 - LEXINGTON (02)",2,41,71,9,"51810"
"250","092 - LITTLE NECK (02)",5,42,291,15,"51810"
"251","093 - NEWTOWN (02)",5,8,21,7,"51810"
"252","094 - PINEWOOD (02)",3,33,104,8,"51810"
"253","095 - DAM NECK (02)",2,31,73,33,"51810"
"254","096 - HILLTOP (02)",2,41,39,9,"51810"
"255","097 - INDIAN RIVER (02)",2,42,49,10,"51810"
"256","098 - INDEPENDENCE (02)",1,4,25,0,"51810"
"257","099 - SALEM WOODS (02)",0,21,47,8,"51810"
"258","100 - SANDBRIDGE (02)",0,32,108,43,"51810"
"259","Member House of Representatives (02)",1237,11330,23300,5972,"51810"
"260","Member House of Representatives (02) - VIRGINIA BEACH CITY",675,5084,15134,3118,"51810"
